onset	duration	sample	value
0.0000000000	n/a	0	boundary
6.4840000000	1.0000000000	6484	S 27
19.6170000000	1.0000000000	19617	S 64
33.2830000000	1.0000000000	33283	S 32
46.7500000000	1.0000000000	46750	S 33
60.3160000000	1.0000000000	60316	S 26
74.3830000000	1.0000000000	74383	S 18
88.2990000000	1.0000000000	88299	S 26
101.2490000000	1.0000000000	101249	S 65
114.2160000000	1.0000000000	114216	S 65
128.1820000000	1.0000000000	128182	S 32
140.3150000000	1.0000000000	140315	S 19
153.3150000000	1.0000000000	153315	S 33
167.3980000000	1.0000000000	167398	S 26
179.9320000000	1.0000000000	179932	S 19
193.4150000000	1.0000000000	193415	S 65
206.3650000000	1.0000000000	206365	S 64
218.9980000000	1.0000000000	218998	S 64
232.3310000000	1.0000000000	232331	S 18
245.2480000000	1.0000000000	245248	S 18
258.0140000000	1.0000000000	258014	S 27
271.4310000000	1.0000000000	271431	S 32
284.5810000000	1.0000000000	284581	S 19
298.4140000000	1.0000000000	298414	S 64
310.8140000000	1.0000000000	310814	S 32
323.8300000000	1.0000000000	323830	S 65
336.4630000000	1.0000000000	336463	S 19
349.0130000000	1.0000000000	349013	S 26
362.8130000000	1.0000000000	362813	S 33
376.8300000000	1.0000000000	376830	S 27
389.1800000000	1.0000000000	389180	S 64
402.7130000000	1.0000000000	402713	S 27
415.0790000000	1.0000000000	415079	S 18
427.3120000000	1.0000000000	427312	S 33
439.8790000000	1.0000000000	439879	S 19
453.3450000000	1.0000000000	453345	S 26
466.0790000000	1.0000000000	466079	S 18
479.4780000000	1.0000000000	479478	S 27
493.1450000000	1.0000000000	493145	S 32
505.9950000000	1.0000000000	505995	S 33
519.4780000000	1.0000000000	519478	S 65
