onset	duration	sample	value
0.0000000000	n/a	0	boundary
1.5200000000	n/a	1520	boundary
7.1150000000	1.0000000000	7115	S 19
19.6320000000	1.0000000000	19632	S 26
33.0480000000	1.0000000000	33048	S 19
45.9310000000	1.0000000000	45931	S 65
58.5650000000	1.0000000000	58565	S 19
71.6140000000	1.0000000000	71614	S 33
83.7310000000	1.0000000000	83731	S 64
97.6480000000	1.0000000000	97648	S 26
109.9470000000	1.0000000000	109947	S 65
123.8310000000	1.0000000000	123831	S 18
137.1810000000	1.0000000000	137181	S 32
150.4640000000	1.0000000000	150464	S 32
164.0470000000	1.0000000000	164047	S 18
176.8970000000	1.0000000000	176897	S 32
190.2130000000	1.0000000000	190213	S 64
203.6970000000	1.0000000000	203697	S 26
217.7130000000	1.0000000000	217713	S 65
230.8460000000	1.0000000000	230846	S 19
244.6130000000	1.0000000000	244613	S 32
257.3460000000	1.0000000000	257346	S 27
270.9460000000	1.0000000000	270946	S 65
285.0960000000	1.0000000000	285096	S 27
297.6120000000	1.0000000000	297612	S 18
311.2620000000	1.0000000000	311262	S 33
323.9450000000	1.0000000000	323945	S 32
338.1290000000	1.0000000000	338129	S 26
351.0450000000	1.0000000000	351045	S 64
363.5450000000	1.0000000000	363545	S 19
376.8620000000	1.0000000000	376862	S 27
391.0280000000	1.0000000000	391028	S 33
405.2110000000	1.0000000000	405211	S 26
418.4780000000	1.0000000000	418478	S 18
431.1440000000	1.0000000000	431144	S 64
443.8110000000	1.0000000000	443811	S 27
456.6440000000	1.0000000000	456644	S 18
469.0440000000	1.0000000000	469044	S 33
481.1610000000	1.0000000000	481161	S 64
493.4270000000	1.0000000000	493427	S 33
506.5940000000	1.0000000000	506594	S 65
520.0770000000	1.0000000000	520077	S 27
